Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results,seed_word,source_file
treadmill calorie calculator,Commercial,6600,"0.44,0.44,0.54,0.81,1.00,0.81,0.66,0.66,0.66,0.54,0.54,0.44",23,1.93,0.0,"Sitelinks, Image pack, Related searches",8.0,calculator,calculator_broad-match_us_2025-12-11.csv
wallpaper calculator,Informational,6600,"0.54,0.66,0.44,0.66,0.66,1.00,1.00,1.00,0.81,1.00,0.81,0.81",7,1.07,0.32,"Sitelinks, Image pack, Video, People also ask, Related searches, Ads bottom",10.0,calculator,calculator_broad-match_us_2025-12-11.csv
wire size calculator,Commercial,6600,"0.81,0.81,1.00,0.81,0.81,1.00,0.81,1.00,0.67,0.67,0.81,1.00",24,0.42,0.07,"Sitelinks, Image pack, Video, People also ask, Related searches, Ads bottom",7.0,calculator,calculator_broad-match_us_2025-12-11.csv
zakat calculator,Informational,6600,"0.03,0.04,0.08,0.08,0.29,1.00,0.08,0.05,0.05,0.03,0.03,0.03",20,1.56,0.45,"Video, Ads top",,calculator,calculator_broad-match_us_2025-12-11.csv
401k calculator with match,Informational,5400,"0.66,0.66,0.66,0.81,1.00,0.66,0.54,0.66,0.66,0.81,0.66,0.66",17,0.41,0.23,"Sitelinks, Related searches, Ads top, Ads bottom",192000000.0,calculator,calculator_broad-match_us_2025-12-11.csv
401k loan calculator,Informational,5400,"0.44,0.36,0.36,1.00,0.44,0.44,0.36,0.44,0.44,0.44,0.36,0.36",25,2.09,0.06,"AI Overview, Video, Related searches",11700000.0,calculator,calculator_broad-match_us_2025-12-11.csv
act calculator,Informational,5400,"0.81,0.35,0.54,0.44,0.81,1.00,0.81,0.35,0.81,0.66,0.44,0.66",20,0.83,0.06,"Sitelinks, Video, Related searches",593000000.0,calculator,calculator_broad-match_us_2025-12-11.csv
adopt me calculator,Informational,5400,"0.54,0.67,0.67,0.54,0.81,1.00,0.81,0.81,0.81,0.81,0.67,0.67",29,6.78,0.0,"Sitelinks, Video, Related searches",34700000.0,calculator,calculator_broad-match_us_2025-12-11.csv
amperage to watts calculator,Informational,5400,"0.44,0.81,0.81,1.00,0.66,0.81,0.44,0.36,0.36,0.00,0.00,0.00",25,0.02,0.02,"Sitelinks, Video, People also ask, Related searches",10.0,calculator,calculator_broad-match_us_2025-12-11.csv
bah rate calculator,"Informational, Commercial",5400,"0.44,0.30,0.67,1.00,0.24,0.30,0.19,0.15,0.30,0.24,1.00,0.24",16,2.01,0.02,"Sitelinks, Video, Related searches",9.0,calculator,calculator_broad-match_us_2025-12-11.csv
batting average calculator,"Informational, Commercial",5400,"0.24,0.12,0.08,0.08,0.12,0.66,1.00,0.81,0.54,0.44,0.24,0.24",16,0.02,0.09,"Video, People also ask, Related searches",1780000.0,calculator,calculator_broad-match_us_2025-12-11.csv
boat financing payment calculator,Informational,5400,"0.00,0.00,0.03,0.00,0.81,1.00,0.03,0.00,0.00,0.00,0.01,0.00",14,0.79,0.21,"Video, Related searches",9.0,calculator,calculator_broad-match_us_2025-12-11.csv
bpm calculator,"Informational, Commercial",5400,"0.67,0.67,0.81,0.81,0.54,0.81,0.67,0.67,0.67,0.54,0.67,1.00",27,1.87,0.0,"Video, People also ask, Related searches",10.0,calculator,calculator_broad-match_us_2025-12-11.csv
cat age calculator,Informational,5400,"0.23,0.81,0.81,1.00,0.54,1.00,0.23,0.19,0.15,0.19,0.23,0.15",13,0.38,0.12,"Sitelinks, Image pack, Related searches",9.0,calculator,calculator_broad-match_us_2025-12-11.csv
commission calculator,Informational,5400,"0.81,1.00,0.66,0.66,0.66,0.66,0.54,0.54,0.44,0.54,0.54,0.44",18,5.8,0.03,"Image pack, Video, People also ask, Related searches",10.0,calculator,calculator_broad-match_us_2025-12-11.csv
concrete calculator bags,Informational,5400,"0.66,0.44,0.54,0.35,0.81,0.66,1.00,0.81,0.54,0.66,0.54,0.81",30,0.59,0.18,"Video, People also ask, Related searches, Ads bottom, Ads middle",12100000.0,calculator,calculator_broad-match_us_2025-12-11.csv
debt snowball calculator,"Informational, Commercial",5400,"1.00,0.82,1.00,1.00,1.00,1.00,0.82,0.67,0.82,0.67,0.82,0.67",6,3.78,0.1,"Sitelinks, Video, Related searches",1290000.0,calculator,calculator_broad-match_us_2025-12-11.csv
decimal in fraction calculator,"Informational, Commercial",5400,"0.36,0.19,0.44,0.54,0.36,1.00,0.81,0.54,0.12,0.16,0.16,0.16",15,1.55,0.0,"Sitelinks, Video, People also ask, Related searches",8.0,calculator,calculator_broad-match_us_2025-12-11.csv
deck calculator,Informational,5400,"0.67,0.44,0.30,0.36,0.44,1.00,1.00,1.00,1.00,1.00,1.00,0.54",27,1.26,0.41,"Sitelinks, Video, Related searches",113000000.0,calculator,calculator_broad-match_us_2025-12-11.csv
dog years calculator,Informational,5400,"0.54,1.00,0.54,0.66,0.36,0.36,0.54,0.66,0.44,0.44,0.36,0.29",30,0.05,0.07,"AI Overview, Image pack, Video, People also ask, Related searches",231000000.0,calculator,calculator_broad-match_us_2025-12-11.csv
ebay fees calculator,"Navigational, Transactional",5400,"0.35,0.54,0.67,0.67,0.67,0.67,0.54,1.00,0.81,0.67,0.67,0.67",24,8.33,0.0,"Sitelinks, Video, Knowledge panel, Related searches",10.0,calculator,calculator_broad-match_us_2025-12-11.csv
ebay price calculator,Transactional,5400,"1.00,0.10,0.00,0.43,0.12,0.28,0.04,0.06,0.04,0.66,0.04,0.19",26,4.45,0.0,"Sitelinks, Video, Knowledge panel, Related searches",10.0,calculator,calculator_broad-match_us_2025-12-11.csv
handicap calculator,"Informational, Commercial",5400,"0.44,0.19,0.19,0.19,0.23,0.28,0.54,0.54,1.00,0.81,0.81,0.44",9,1.96,0.09,"Sitelinks, Image pack, Video, Related searches",10.0,calculator,calculator_broad-match_us_2025-12-11.csv
hours to decimal calculator,"Informational, Commercial",5400,"0.66,0.54,0.66,0.54,0.66,0.66,0.36,0.44,0.54,0.54,0.54,1.00",22,4.2,0.0,"Video, Related searches",10.0,calculator,calculator_broad-match_us_2025-12-11.csv
how to calculate board feet,Informational,5400,"0.81,0.43,0.81,1.00,1.00,0.81,0.81,0.81,0.67,0.54,0.81,0.81",23,0.02,0.01,"Sitelinks, AI Overview, Video, Video carousel, Related searches",10.0,calculator,calculator_broad-match_us_2025-12-11.csv
how to calculate opportunity cost,Informational,5400,"0.36,0.15,0.24,0.67,0.55,0.20,0.20,0.24,0.12,0.11,0.29,1.00",22,2.16,0.0,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches",10.0,calculator,calculator_broad-match_us_2025-12-11.csv
how to calculate ring size,Informational,5400,"0.67,0.54,0.81,0.16,0.67,0.36,0.28,0.19,0.19,0.54,0.54,1.00",27,0.41,0.92,"AI Overview, Image pack, Video, Video carousel, Short videos, Related searches, Ads middle",108000000.0,calculator,calculator_broad-match_us_2025-12-11.csv
illinois salary calculator,"Informational, Commercial",5400,"0.15,1.00,0.81,0.67,0.19,0.44,0.30,0.54,0.54,0.67,0.54,0.54",21,4.77,0.01,"Sitelinks, Related searches",17100000.0,calculator,calculator_broad-match_us_2025-12-11.csv
image ratio calculator,"Informational, Commercial",5400,"0.81,1.00,0.81,0.44,0.66,0.13,0.36,0.19,0.44,0.29,0.19,0.54",20,0.78,0.0,"Sitelinks, Image pack, Video, Related searches",8.0,calculator,calculator_broad-match_us_2025-12-11.csv
interest only mortgage calculator,Informational,5400,"1.00,0.82,0.67,1.00,0.82,0.82,1.00,0.82,0.82,0.82,0.82,0.82",28,2.11,0.09,"People also ask, Related searches",235000000.0,calculator,calculator_broad-match_us_2025-12-11.csv
inverse calculator,"Informational, Commercial",5400,"1.00,0.67,0.53,0.53,0.53,0.53,0.44,0.28,0.11,0.19,0.14,0.44",27,0.01,0.04,"Video, Related searches, See results about",65100000.0,calculator,calculator_broad-match_us_2025-12-11.csv
law of cosines calculator,Informational,5400,"0.54,0.79,0.67,0.79,1.00,1.00,1.00,0.79,0.29,0.29,0.17,0.21",18,1.96,0.0,"Instant answer, Image pack, Video, Knowledge panel, Related searches, See results about",10.0,calculator,calculator_broad-match_us_2025-12-11.csv
life insurance calculator,Informational,5400,"0.54,0.54,0.44,0.54,0.44,1.00,0.81,0.54,0.54,0.67,0.54,0.54",30,7.57,0.37,"Sitelinks, Video, People also ask, Related searches, Ads top, Ads bottom",10.0,calculator,calculator_broad-match_us_2025-12-11.csv
mad calculator,"Informational, Commercial",5400,"0.16,0.16,0.12,0.20,0.23,0.36,0.81,1.00,0.16,0.04,0.10,0.23",19,1.66,0.0,"Video, People also ask, Related searches, See results about",105000000.0,calculator,calculator_broad-match_us_2025-12-11.csv
mean absolute deviation calculator,"Informational, Transactional",5400,"0.16,0.12,0.10,0.16,0.23,0.44,1.00,1.00,0.12,0.04,0.12,0.23",20,1.66,0.0,"Video, Video carousel, People also ask, Related searches, See results about",8180000.0,calculator,calculator_broad-match_us_2025-12-11.csv
missouri paycheck calculator,"Informational, Commercial",5400,"1.00,1.00,0.81,1.00,0.81,1.00,0.81,1.00,1.00,0.81,1.00,0.81",28,7.58,0.01,"Sitelinks, Related searches",70300000.0,calculator,calculator_broad-match_us_2025-12-11.csv
money market calculator,Informational,5400,"0.67,0.81,0.81,0.81,0.81,1.00,1.00,0.81,0.67,0.67,0.81,1.00",18,1.65,0.45,"Video, Video carousel, People also ask, Related searches",676000000.0,calculator,calculator_broad-match_us_2025-12-11.csv
mortgage calculator michigan,Informational,5400,"0.66,0.54,0.66,0.81,0.66,1.00,0.81,0.81,0.81,0.81,0.66,0.66",21,0.46,0.49,"Sitelinks, People also ask, Related searches, Ads bottom",10.0,calculator,calculator_broad-match_us_2025-12-11.csv
mortgage calculator utah,"Informational, Commercial",5400,"1.00,0.81,0.81,1.00,0.81,1.00,0.81,0.81,0.81,1.00,0.81,0.81",7,0.57,0.51,"Sitelinks, AI Overview, Related searches",3.0,calculator,calculator_broad-match_us_2025-12-11.csv
name number calculator,"Informational, Commercial",5400,"0.81,1.00,0.44,0.67,0.44,0.81,0.81,0.36,0.23,0.10,0.23,0.28",28,2.05,0.01,"Sitelinks, Image pack, Video, People also ask, Related searches",10.0,calculator,calculator_broad-match_us_2025-12-11.csv
neb tm calculator,Navigational,5400,"1.00,1.00,0.54,0.66,1.00,0.81,0.81,0.81,0.81,0.81,0.66,0.81",15,5.22,0.02,"Sitelinks, Video, Related searches",49900.0,calculator,calculator_broad-match_us_2025-12-11.csv
nj sales tax calculator,Commercial,5400,"1.00,0.81,0.81,1.00,0.81,1.00,1.00,1.00,1.00,1.00,0.81,0.67",21,2.55,0.02,"People also ask, Related searches, Ads bottom",19100000.0,calculator,calculator_broad-match_us_2025-12-11.csv
partial fraction calculator,"Informational, Transactional",5400,"1.00,0.44,0.55,0.29,0.55,0.67,0.55,0.36,0.05,0.11,0.08,0.29",17,0.33,0.01,"Video, Video carousel, People also ask, Related searches, See results about",13000000.0,calculator,calculator_broad-match_us_2025-12-11.csv
paver calculator,"Informational, Commercial",5400,"0.19,0.19,0.13,0.19,0.24,1.00,1.00,1.00,0.81,0.66,0.66,0.44",20,0.84,0.03,"Video, People also ask, Related searches",2770000.0,calculator,calculator_broad-match_us_2025-12-11.csv
prime factorization calculator,"Informational, Commercial",5400,"1.00,1.00,0.66,0.66,0.43,0.82,0.43,0.30,0.18,0.23,0.36,0.55",19,2.01,0.01,"Video, People also ask, Related searches, See results about",10.0,calculator,calculator_broad-match_us_2025-12-11.csv
psu power calculator,"Informational, Commercial",5400,"0.44,1.00,0.81,0.10,0.44,0.19,0.44,0.05,0.24,0.16,0.02,0.24",21,0.04,0.09,"Sitelinks, Image pack, Video, Related searches",10.0,calculator,calculator_broad-match_us_2025-12-11.csv
pto calculator,"Informational, Commercial",5400,"0.54,0.66,0.66,1.00,0.54,0.54,0.54,0.54,0.54,0.54,0.66,0.44",25,2.23,0.01,"Sitelinks, Video, People also ask, Related searches, Ads bottom",17300000.0,calculator,calculator_broad-match_us_2025-12-11.csv
quadratic calculator,Informational,5400,"1.00,0.81,0.44,0.53,0.81,0.81,0.81,0.53,0.22,0.19,0.28,0.81",30,0.26,0.01,"Instant answer, Video, Related searches, See results about",9.0,calculator,calculator_broad-match_us_2025-12-11.csv
recessed lighting calculator,"Informational, Transactional",5400,"0.54,0.66,0.43,0.66,0.81,1.00,1.00,1.00,0.81,1.00,0.66,0.54",7,1.9,0.01,"Sitelinks, Video, Video carousel, People also ask, Related searches",10.0,calculator,calculator_broad-match_us_2025-12-11.csv
resistor calculator,Informational,5400,"1.00,0.67,0.67,0.81,0.81,0.81,0.81,0.54,0.44,0.44,0.44,0.81",28,0.17,0.02,"Sitelinks, Image pack, Video, People also ask, Related searches, See results about",7.0,calculator,calculator_broad-match_us_2025-12-11.csv
round up calculator,"Informational, Commercial",5400,"0.66,0.09,0.55,0.16,0.45,1.00,0.23,0.09,0.16,0.11,0.11,0.16",26,1.58,0.0,"Video, Related searches",9.0,calculator,calculator_broad-match_us_2025-12-11.csv
run pace calculator,"Informational, Commercial",5400,"1.00,0.82,0.55,1.00,0.82,0.67,0.67,0.67,0.55,0.55,0.67,0.67",19,0.72,0.01,"Sitelinks, Video, Related searches, Ads top, Ads bottom",8.0,calculator,calculator_broad-match_us_2025-12-11.csv
sakrete calculator,Informational,5400,"1.00,0.67,0.54,0.54,0.54,1.00,1.00,1.00,1.00,0.81,0.81,0.81",24,0.34,0.32,"Sitelinks, Image pack, Video, Video carousel, Related searches, Ads top, Ads bottom",3.0,calculator,calculator_broad-match_us_2025-12-11.csv
salary raise calculator,"Informational, Commercial",5400,"0.82,1.00,0.67,0.35,0.55,0.35,0.35,1.00,0.55,0.35,0.67,0.82",17,2.85,0.01,"Sitelinks, Video, Related searches",196000000.0,calculator,calculator_broad-match_us_2025-12-11.csv
schd calculator,"Informational, Transactional",5400,"0.66,0.66,1.00,0.54,0.81,1.00,0.81,1.00,0.66,0.66,0.66,0.66",16,2.62,0.02,"Sitelinks, Image pack, Video, People also ask, Related searches",225000.0,calculator,calculator_broad-match_us_2025-12-11.csv
share incentive plan calculator,Informational,5400,"1.00,0.07,0.13,0.02,1.00,1.00,1.00,1.00,1.00,0.00,0.04,0.81",18,1.46,0.04,"Sitelinks, AI Overview, Video, People also ask, Related searches",10.0,calculator,calculator_broad-match_us_2025-12-11.csv
silver calculator,"Informational, Commercial",5400,"0.66,0.44,0.44,0.44,0.54,0.54,0.54,0.54,0.54,0.66,0.66,1.00",30,0.21,0.02,"Sitelinks, Image pack, Video, Related searches",9.0,calculator,calculator_broad-match_us_2025-12-11.csv
sod calculator,Informational,5400,"0.13,0.08,0.07,0.10,0.36,1.00,1.00,0.81,0.66,0.44,0.36,0.36",14,2.07,0.02,"Video, Related searches",10.0,calculator,calculator_broad-match_us_2025-12-11.csv
tennessee paycheck calculator,"Informational, Commercial",5400,"1.00,1.00,0.54,1.00,0.67,0.67,0.81,0.67,0.67,0.67,0.67,0.67",27,7.09,0.0,"People also ask, Related searches",,calculator,calculator_broad-match_us_2025-12-11.csv
tree removal cost calculator,Informational,5400,"0.36,0.19,0.16,0.24,0.29,0.54,0.81,1.00,0.81,0.66,0.66,0.54",0,2.44,0.19,"Sitelinks, AI Overview, Image, Video, Discussions and forums, Related searches",10.0,calculator,calculator_broad-match_us_2025-12-11.csv
wacc calculator,"Informational, Commercial",5400,"0.16,0.16,1.00,0.08,0.54,0.54,0.66,0.44,0.29,0.24,0.16,0.19",24,0.63,0.01,"Video, People also ask, Related searches",1230000.0,calculator,calculator_broad-match_us_2025-12-11.csv
waist to hip ratio calculator,"Informational, Commercial",5400,"1.00,0.81,0.67,1.00,0.81,1.00,0.81,0.81,0.81,0.81,0.67,0.54",23,0.02,0.01,"Image pack, Video, Related searches",1230000.0,calculator,calculator_broad-match_us_2025-12-11.csv
watts to amps calculator,"Informational, Commercial",5400,"0.54,0.81,0.66,1.00,0.66,0.66,0.36,0.36,0.36,0.66,0.44,0.36",19,0.02,0.03,"Sitelinks, Video, People also ask, Related searches",16700000.0,calculator,calculator_broad-match_us_2025-12-11.csv
weight watchers points calculator,Informational,5400,"0.55,0.82,0.66,1.00,0.82,0.82,0.66,0.66,0.55,0.66,0.55,0.43",21,2.33,0.08,"Sitelinks, Image pack, Video, Related searches",10.0,calculator,calculator_broad-match_us_2025-12-11.csv
213 area code,Informational,368000,"0.66,0.66,0.66,0.44,0.44,0.44,0.44,0.54,0.44,0.66,1.00,1.00",25,0.78,0.0,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Things to know",10.0,code,code_broad-match_us_2025-12-12.csv
646 area code,Informational,301000,"1.00,0.81,0.66,0.81,0.66,0.66,0.81,0.81,0.81,1.00,0.81,0.81",21,0.75,0.0,"Sitelinks, AI Overview, Video, Related searches",7.0,code,code_broad-match_us_2025-12-12.csv
929 area code,Informational,201000,"0.54,0.66,0.54,0.54,0.44,0.54,0.66,0.54,0.66,0.66,1.00,0.66",27,0.76,0.0,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",46900000.0,code,code_broad-match_us_2025-12-12.csv
209 area code,Informational,165000,"1.00,0.67,0.67,0.81,0.54,0.67,0.54,0.54,0.54,0.54,0.54,0.54",13,0.44,0.0,"AI Overview, Image pack, Video, Related searches",9.0,code,code_broad-match_us_2025-12-12.csv
323 area code,"Informational, Commercial",165000,"1.00,0.82,0.82,0.67,0.67,0.82,0.67,0.67,0.67,0.67,0.67,1.00",25,0.91,0.0,"AI Overview, Image pack, Video, People also ask, Related searches",9.0,code,code_broad-match_us_2025-12-12.csv
415 area code,Informational,165000,"0.83,0.83,0.67,1.00,0.83,0.67,0.67,0.83,0.67,0.83,0.83,0.83",13,0.5,0.0,"Sitelinks, AI Overview, Image pack, Video, Related searches",6.0,code,code_broad-match_us_2025-12-12.csv
424 area code,"Informational, Commercial",165000,"1.00,1.00,1.00,0.83,0.54,0.67,0.67,0.67,0.67,0.67,0.67,0.67",21,0.56,0.0,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
951 area code,"Informational, Commercial",165000,"0.67,0.82,1.00,0.82,0.67,0.67,0.67,0.54,0.67,1.00,1.00,0.82",18,0.6,0.0,"AI Overview, Image pack, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
shein coupon code,Transactional,165000,"1.00,1.00,0.82,1.00,0.82,1.00,1.00,0.82,0.82,0.82,0.82,0.82",27,0.3,1.0,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches, Ads top, Ads bottom",10.0,code,code_broad-match_us_2025-12-12.csv
305 area code,"Informational, Commercial",135000,"0.66,0.66,0.66,0.81,0.66,0.66,0.81,0.81,0.81,1.00,1.00,0.81",13,1.28,0.0,"Sitelinks, AI Overview, Image pack, Video, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
310 area code,Informational,135000,"1.00,0.81,0.81,1.00,0.81,0.81,0.81,0.81,1.00,0.81,0.81,0.81",15,1.3,0.0,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
346 area code,Informational,135000,"0.81,0.66,0.66,0.81,0.66,0.66,0.66,0.81,0.81,1.00,1.00,0.81",24,0.67,0.0,"Featured snippet, Image pack, Video, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
408 area code,"Informational, Commercial",135000,"0.44,0.44,0.44,0.54,1.00,0.44,0.44,0.54,0.44,0.44,0.44,0.36",16,0.92,0.0,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
470 area code,Informational,135000,"0.81,1.00,1.00,1.00,0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.81",12,0.61,0.0,"Sitelinks, AI Overview, Image pack, Video, Related searches, See results about",4.0,code,code_broad-match_us_2025-12-12.csv
510 area code,Informational,135000,"0.81,0.81,1.00,0.66,0.66,0.81,0.66,0.66,0.66,0.81,0.81,0.66",12,2.16,0.0,"AI Overview, Image pack, Video, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
516 area code,Informational,135000,"1.00,1.00,0.66,0.81,0.81,0.81,0.81,0.66,0.66,0.66,0.66,0.81",15,0.46,0.0,"AI Overview, Image pack, Video, People also ask, Related searches, Things to know",10.0,code,code_broad-match_us_2025-12-12.csv
626 area code,Informational,135000,"0.82,0.67,1.00,1.00,0.55,0.67,0.67,0.45,0.55,0.55,0.55,0.55",20,0.91,0.0,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
702 area code,Informational,135000,"0.66,0.66,0.81,0.81,0.66,0.81,0.66,0.81,0.81,1.00,0.81,0.81",15,1.15,0.0,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Things to know",10.0,code,code_broad-match_us_2025-12-12.csv
707 area code,Informational,135000,"0.54,0.44,0.54,1.00,0.44,0.44,0.54,0.44,0.44,0.44,0.54,0.36",20,1.02,0.0,"AI Overview, Image pack, People also ask, Related searches, Things to know",10.0,code,code_broad-match_us_2025-12-12.csv
832 area code,"Informational, Commercial",135000,"0.67,0.54,0.82,1.00,0.67,0.67,0.67,0.67,0.67,0.82,0.67,0.67",12,0.82,0.0,"AI Overview, Image pack, Video, Related searches",8.0,code,code_broad-match_us_2025-12-12.csv
949 area code,"Informational, Commercial",135000,"0.67,0.54,0.54,1.00,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.67",15,0.44,0.0,"Sitelinks, AI Overview, People also ask, Related searches, Things to know",10.0,code,code_broad-match_us_2025-12-12.csv
203 area code,Informational,110000,"1.00,0.83,0.83,1.00,1.00,1.00,0.83,1.00,1.00,0.83,0.83,1.00",29,0.52,0.0,"Sitelinks, AI Overview, Video, Related searches",,code,code_broad-match_us_2025-12-12.csv
267 area code,"Informational, Commercial",110000,"0.81,0.67,0.67,0.67,0.81,0.81,0.81,0.67,0.67,0.81,0.81,1.00",22,0.57,0.0,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
315 area code,"Informational, Commercial",110000,"0.81,0.81,0.81,0.81,0.67,1.00,0.81,1.00,0.81,0.81,0.67,0.67",25,0.49,0.0,"AI Overview, Image pack, People also ask, Related searches, Things to know",9.0,code,code_broad-match_us_2025-12-12.csv
562 area code,Informational,110000,"1.00,0.81,0.81,1.00,0.81,0.81,0.67,0.67,0.67,0.81,1.00,0.81",28,0.31,0.0,"Sitelinks, AI Overview, Image pack, Video, Related searches",109000000.0,code,code_broad-match_us_2025-12-12.csv
602 area code,"Informational, Commercial",110000,"0.81,0.67,0.67,0.81,0.67,1.00,0.81,0.81,0.81,0.81,0.81,1.00",27,0.4,0.0,"AI Overview, Image pack, Video, People also ask, Related searches, Things to know",86600000.0,code,code_broad-match_us_2025-12-12.csv
615 area code,Informational,110000,"1.00,0.83,0.83,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",28,0.62,0.0,"AI Overview, Related searches",,code,code_broad-match_us_2025-12-12.csv
678 area code,Informational,110000,"0.81,0.67,0.67,1.00,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81",15,1.04,0.0,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
760 area code,Informational,110000,"0.81,1.00,0.81,0.81,0.81,0.54,0.67,0.67,0.54,1.00,0.67,0.67",22,0.61,0.0,"Sitelinks, AI Overview, Image pack, Video, Related searches",,code,code_broad-match_us_2025-12-12.csv
813 area code,Informational,110000,"0.81,1.00,0.67,1.00,0.81,0.81,0.67,0.67,1.00,1.00,1.00,1.00",29,0.85,0.0,"AI Overview, Video, People also ask, Related searches",56300000.0,code,code_broad-match_us_2025-12-12.csv
833 area code,Informational,110000,"0.81,0.81,0.81,0.81,0.81,1.00,1.00,0.81,0.81,0.67,0.67,1.00",27,0.44,0.0,"Sitelinks, AI Overview, Image pack, Video, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
904 area code,"Informational, Commercial",110000,"0.81,1.00,0.81,0.81,0.81,1.00,0.81,0.81,1.00,1.00,0.81,0.81",13,0.85,0.0,"Sitelinks, AI Overview, Image pack, Video, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
919 area code,Informational,110000,"1.00,1.00,0.83,1.00,0.83,1.00,1.00,1.00,1.00,1.00,1.00,1.00",26,1.52,0.0,"Sitelinks, AI Overview, Video, Related searches",,code,code_broad-match_us_2025-12-12.csv
954 area code,"Informational, Commercial",110000,"0.81,0.81,0.81,1.00,1.00,1.00,0.81,0.81,0.81,0.81,0.81,0.81",25,0.89,0.0,"AI Overview, Image pack, People also ask, Related searches, See results about",10.0,code,code_broad-match_us_2025-12-12.csv
205 area code,Informational,90500,"0.83,0.83,0.83,0.83,0.83,0.83,1.00,1.00,0.83,1.00,0.83,0.83",15,0.95,0.0,"AI Overview, Image pack, Video, People also ask, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
239 area code,Informational,90500,"0.82,0.67,0.67,0.82,0.82,0.82,1.00,0.82,0.67,1.00,0.82,0.67",20,3.11,0.0,"AI Overview, Image pack, Video, People also ask, Related searches",192000000.0,code,code_broad-match_us_2025-12-12.csv
240 area code,"Informational, Commercial",90500,"0.83,0.67,0.67,0.83,0.83,0.83,0.83,0.83,0.83,1.00,0.83,0.67",24,0.57,0.0,"AI Overview, Video, People also ask, Related searches",412000000.0,code,code_broad-match_us_2025-12-12.csv
281 area code,Informational,90500,"0.82,0.67,0.82,0.82,0.82,0.82,0.82,0.82,1.00,1.00,1.00,0.82",18,0.61,0.0,"AI Overview, Video, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
313 area code,Informational,90500,"1.00,0.67,0.82,1.00,0.67,0.67,0.82,0.82,0.55,0.82,0.82,0.67",23,0.5,0.0,"Sitelinks, AI Overview, Video, People also ask, Related searches, Things to know",8.0,code,code_broad-match_us_2025-12-12.csv
314 area code,Informational,90500,"1.00,0.82,0.67,1.00,0.67,1.00,0.82,0.82,0.82,1.00,1.00,1.00",15,0.81,0.0,"Sitelinks, AI Overview, Video, People also ask, Related searches, Things to know",8.0,code,code_broad-match_us_2025-12-12.csv
317 area code,"Informational, Commercial",90500,"0.82,0.82,0.67,0.82,0.82,0.82,0.82,1.00,1.00,1.00,0.82,1.00",12,0.64,0.0,"Sitelinks, AI Overview, Image, Video, Related searches",9.0,code,code_broad-match_us_2025-12-12.csv
321 area code,Informational,90500,"1.00,0.67,0.54,0.67,0.54,0.67,0.67,0.67,0.67,0.81,0.81,0.81",14,0.65,0.0,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Things to know",9.0,code,code_broad-match_us_2025-12-12.csv
352 area code,Informational,90500,"0.82,0.55,0.67,0.82,0.67,0.82,0.67,1.00,1.00,1.00,0.82,0.67",19,0.37,0.0,"Sitelinks, AI Overview, Image pack, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
437 area code,Informational,90500,"0.13,0.13,0.16,0.20,0.24,0.36,0.67,1.00,1.00,0.67,1.00,1.00",12,0.41,0.0,"Sitelinks, AI Overview, Image pack, Video, Related searches, See results about",10.0,code,code_broad-match_us_2025-12-12.csv
443 area code,Informational,90500,"0.82,0.82,0.67,0.82,0.82,1.00,0.82,0.82,0.82,1.00,0.82,0.67",12,0.79,0.0,"AI Overview, Video, Related searches, See results about",9.0,code,code_broad-match_us_2025-12-12.csv
502 area code,Informational,90500,"0.67,0.81,0.81,0.67,0.67,1.00,0.67,0.54,0.54,0.81,0.81,0.67",13,0.45,0.0,"AI Overview, Image pack, Video, Related searches",10.0,code,code_broad-match_us_2025-12-12.csv
